"Entity","Code","Year","plastic_production","plastic_projection"
"World","OWID_WRL",1950,2000000,NA
"World","OWID_WRL",1951,2000000,NA
"World","OWID_WRL",1952,2000000,NA
"World","OWID_WRL",1953,3000000,NA
"World","OWID_WRL",1954,3000000,NA
"World","OWID_WRL",1955,4000000,NA
"World","OWID_WRL",1956,5000000,NA
"World","OWID_WRL",1957,5000000,NA
"World","OWID_WRL",1958,6000000,NA
"World","OWID_WRL",1959,7000000,NA
"World","OWID_WRL",1960,8000000,NA
"World","OWID_WRL",1961,9000000,NA
"World","OWID_WRL",1962,11000000,NA
"World","OWID_WRL",1963,13000000,NA
"World","OWID_WRL",1964,15000000,NA
"World","OWID_WRL",1965,17000000,NA
"World","OWID_WRL",1966,20000000,NA
"World","OWID_WRL",1967,23000000,NA
"World","OWID_WRL",1968,27000000,NA
"World","OWID_WRL",1969,32000000,NA
"World","OWID_WRL",1970,35000000,NA
"World","OWID_WRL",1971,38000000,NA
"World","OWID_WRL",1972,44000000,NA
"World","OWID_WRL",1973,51000000,NA
"World","OWID_WRL",1975,46000000,NA
"World","OWID_WRL",1976,54000000,NA
"World","OWID_WRL",1977,59000000,NA
"World","OWID_WRL",1978,64000000,NA
"World","OWID_WRL",1979,71000000,NA
"World","OWID_WRL",1980,70000000,NA
"World","OWID_WRL",1981,72000000,NA
"World","OWID_WRL",1982,73000000,NA
"World","OWID_WRL",1983,80000000,NA
"World","OWID_WRL",1984,86000000,NA
"World","OWID_WRL",1985,90000000,NA
"World","OWID_WRL",1986,96000000,NA
"World","OWID_WRL",1987,104000000,NA
"World","OWID_WRL",1988,110000000,NA
"World","OWID_WRL",1989,114000000,NA
"World","OWID_WRL",1990,120000000,NA
"World","OWID_WRL",1991,124000000,NA
"World","OWID_WRL",1992,132000000,NA
"World","OWID_WRL",1993,137000000,NA
"World","OWID_WRL",1994,151000000,NA
"World","OWID_WRL",1995,156000000,NA
"World","OWID_WRL",1996,168000000,NA
"World","OWID_WRL",1997,180000000,NA
"World","OWID_WRL",1998,188000000,NA
"World","OWID_WRL",1999,202000000,NA
"World","OWID_WRL",2000,213000000,NA
"World","OWID_WRL",2001,218000000,NA
"World","OWID_WRL",2002,231000000,NA
"World","OWID_WRL",2003,241000000,NA
"World","OWID_WRL",2004,256000000,NA
"World","OWID_WRL",2005,263000000,NA
"World","OWID_WRL",2006,280000000,NA
"World","OWID_WRL",2007,295000000,NA
"World","OWID_WRL",2008,281000000,NA
"World","OWID_WRL",2009,288000000,NA
"World","OWID_WRL",2010,313000000,NA
"World","OWID_WRL",2011,325000000,NA
"World","OWID_WRL",2012,338000000,NA
"World","OWID_WRL",2013,352000000,NA
"World","OWID_WRL",2014,367000000,NA
"World","OWID_WRL",2015,381000000,NA
"World","OWID_WRL",2016,400050000,NA
"World","OWID_WRL",2017,420052500,NA
"World","OWID_WRL",2018,441055140,NA
"World","OWID_WRL",2019,459746020,459745920
"World","OWID_WRL",2020,NA,449531100
"World","OWID_WRL",2021,NA,461093700
"World","OWID_WRL",2022,NA,475387300
"World","OWID_WRL",2023,NA,489137180
"World","OWID_WRL",2024,NA,502504580
"World","OWID_WRL",2025,NA,516021120
"World","OWID_WRL",2026,NA,529852600
"World","OWID_WRL",2027,NA,543705300
"World","OWID_WRL",2028,NA,558319400
"World","OWID_WRL",2029,NA,573417900
"World","OWID_WRL",2030,NA,589063200
"World","OWID_WRL",2031,NA,605118300
"World","OWID_WRL",2032,NA,621587200
"World","OWID_WRL",2033,NA,638383100
"World","OWID_WRL",2034,NA,655580100
"World","OWID_WRL",2035,NA,673012300
"World","OWID_WRL",2036,NA,690637250
"World","OWID_WRL",2037,NA,708870800
"World","OWID_WRL",2038,NA,727434300
"World","OWID_WRL",2039,NA,746369100
"World","OWID_WRL",2040,NA,765653000
"World","OWID_WRL",2041,NA,785107300
"World","OWID_WRL",2042,NA,804785700
"World","OWID_WRL",2043,NA,824846000
"World","OWID_WRL",2044,NA,845301000
"World","OWID_WRL",2045,NA,866099200
"World","OWID_WRL",2046,NA,887245200
"World","OWID_WRL",2047,NA,908607940
"World","OWID_WRL",2048,NA,930507650
"World","OWID_WRL",2049,NA,952802400
"World","OWID_WRL",2050,NA,975630000
"World","OWID_WRL",2051,NA,998800800
"World","OWID_WRL",2052,NA,1022426940
"World","OWID_WRL",2053,NA,1046618400
"World","OWID_WRL",2054,NA,1071277630
"World","OWID_WRL",2055,NA,1096502000
"World","OWID_WRL",2056,NA,1122099000
"World","OWID_WRL",2057,NA,1148337700
"World","OWID_WRL",2058,NA,1175081500
"World","OWID_WRL",2059,NA,1202569100
"World","OWID_WRL",2060,NA,1230627200
